Year,Race,Count,Percent
2013,White,2821,0.00
2013,Black,329,0.00
2013,Asian,735,0.00
2014,White,3013,0.07
2014,Black,355,0.08
2014,Asian,828,0.13
2015,White,2989,-0.01
2015,Black,374,0.05
2015,Asian,871,0.05
2016,White,3122,0.04
2016,Black,362,-0.03
2016,Asian,978,0.12
2017,White,3258,0.04
2017,Black,416,0.15
2017,Asian,998,0.02
2018,White,3436,0.05
2018,Black,431,0.04
2018,Asian,1129,0.13
2019,White,3517,0.02
2019,Black,465,0.08
2019,Asian,1238,0.10
2020,White,3666,0.04
2020,Black,508,0.09
2020,Asian,1287,0.04