State,ABBR,Index,Grocery,Housing,Utilities,Transportation,Health,Misc.
Alaska,AK,125.7,131.9,126,156.5,115.1,151.5,113.8
Alabama,AL,88.6,98,69.5,101.8,92.3,90.9,95.3
Arkansas,AR,92.1,93.5,79.8,94.2,93.3,83,101.8
Arizona,AZ,107,104.5,117.8,103.7,97.8,98.1,103.9
California,CA,146.9,119.2,221,117.5,133.3,112.4,115.2
Colorado,CO,105.8,97.1,117.3,89.7,108.3,97.8,104.9
Connecticut,CT,119.5,109.3,131.2,132,107.5,109.8,115.4
District of Columbia,DC,154.4,107.4,258.1,115.6,99.1,91,123.7
Delaware,DE,106.6,114.1,102.4,96,108.3,105.8,109.3
Florida,FL,101.5,107.6,104.1,100.4,96.9,98.3,98.8
Georgia,GA,89.8,95.5,75.1,91,92.9,96.5,97.3
Hawaii,HI,185.6,152.3,312.6,158.4,131.3,113.3,128.7
Iowa,IA,90.3,99,74.7,97,97.1,99.3,94.5
Idaho,ID,97.1,92.1,97.3,82.3,117.4,94.7,98
Illinois,IL,90.5,97,75.3,97,106.3,95.5,93.4
Indiana,IN,91.1,93.9,77.8,102.4,98.3,94.4,95.4
Kansas,KS,86.9,90.9,72.8,101.4,97.2,100.3,88.3
Kentucky,KY,93.9,90.6,78.5,103.7,104.2,83.3,103.9
Louisiana,LA,92.8,97.4,86,87.9,94.8,99.5,96.2
Massachusetts,MA,132.5,120.6,177.8,112.4,108.3,120,114.3
Maryland,MD,121.4,112,163.6,105.6,104.3,82.6,105.4
Maine,ME,110.9,101.9,130.3,102.8,101.3,112.2,103.6
Michigan,MI,91.4,89.7,79.6,101,103.7,95.3,95.3
Minnesota,MN,99.6,103.3,88.5,96,96.7,106.1,107.8
Missouri,MO,91.2,98,82.1,94.2,94.1,96,93.5
Mississippi,MS,85.1,95.3,66.4,90.4,89.7,96,91.6
Montana,MT,100.8,102.2,105.2,88.4,96.6,100.1,101.2
North Dakota,ND,97.8,99.6,94.3,101.5,101.5,112.6,96
Nebraska,NE,93.6,98.9,84.7,90.5,99.4,102.9,96.7
New Hampshire,NH,112.6,108.7,106.8,113.6,93.1,121.9,122.2
New Jersey,NJ,118.3,107.2,148,102.8,104.3,98.1,109.7
New Mexico,NM,90.6,98.9,82,87.4,96,99.3,92.4
Nevada,NV,103.3,104.2,114.3,89.5,121.2,101.1,93.7
New York,NY,143.7,117.9,227.5,101,105.8,103.2,113
Ohio,OH,92.9,101.4,77,93.3,99.1,97.2,99.7
Oklahoma,OK,88.2,92.7,75.2,97.4,93.6,95.4,92
Oregon,OR,127.5,108.4,169.3,90.7,128,115.3,113.4
Pennsylvania,PA,100.5,105,95,105.7,104,98,101.1
Rhode Island,RI,115.8,106.3,121.5,127.7,102.6,105.9,116.5
South Carolina,SC,94.8,97.2,82,109.9,95.3,94.7,100
North Carolina,NC,96.4,98.2,90.7,96.5,91.5,110.1,99.5
South Dakota,SD,96.2,95,101.6,92.6,90,99.4,94.4
Tennessee,TN,90,95.7,79.4,93.4,89.3,91.6,95.3
Texas,TX,92.6,90.5,83.9,103.9,94.3,95.4,96.4
Utah,UT,101.5,98.6,99.3,91.1,120.5,92.3,103.5
Virginia,VA,98.1,92.3,100.7,97.8,92.4,101.9,99.5
Vermont,VT,114.8,106,135.5,119.9,109.1,97.5,104.3
Washington,WA,112.8,107.1,121.6,90.2,119.9,121.6,111.2
Wisconsin,WI,95.5,97.6,86.7,102.1,98.1,111.5,97.1
West Virginia,WV,90.1,96.4,78.4,90.3,86.3,87,98.3
Wyoming,WY,93.6,100.6,78.6,84.6,101.8,96.9,102.5